"职位名称","公司名称","月薪","地区"
"技术开发部开发工程师（iOS、安卓、C#）","中信期货有限公司","10000-20000","深圳"
"amazon外贸销售","深圳市安睿信科技有限公司","8001-10000","深圳"
"web后台工程师","深圳逗号互联科技有限公司","10000-15000","深圳"
"H5前端开发工程师","深圳市利德行投资建设顾问有限公司","1000-2000","深圳"
"软件部web前端开发工程师","深圳市多翼创新科技有限公司","5000-9000","深圳"
"web前端讲师","深圳果粒文化信息科技有限公司","10001-15000","深圳-龙华新区"
"前端开发工程师","深圳雅讯信息技术有限公司","8000-15000","深圳"
"游戏云前端开发高级工程师（深圳）","贝拉特(北京)咨询有限公司","30001-50000","深圳"
"前端开发工程师","深圳晓哲信息咨询合伙企业(有限合伙)","12000-24000","深圳"
"WEB前端开发工程师","易宝互动资讯有限公司","10000-20000","深圳-龙华新区"
"WEB前端开发工程师","易宝互动资讯有限公司","10001-15000","深圳"
"php程序员","深圳前海爱恒美网络科技服务有限公司","6000-10000","深圳"
"前端开发工程师","优维科技(深圳)有限公司","10000-20000","深圳"
"h5前端开发工程师","深圳市百世泰科科技有限公司","15001-20000","深圳"
"PHP程序员","深圳华冠网络科技服务有限公司","8001-10000","深圳"
"前端架构师","深圳市名图信息技术有限公司","12000-24000","深圳"
"web前端","深圳蚂云科技有限责任公司","8000-15000","深圳"
"web前端工程师","深圳市非零无限科技有限公司","7000-14000","深圳"
"前端开发工程师","深圳领格网络科技有限公司","10000-20000","深圳"
"web前端工程师","善行(深圳)系统有限公司","15000-25000","深圳"
"区块链工程师","深圳市洛克曼科技有限公司","15000-30000","深圳"
"区块链开发-数字钱包方向","飞鱼科技国际有限公司","15000-30000","深圳"
"前端开发工程师","深圳市海凌科电子有限公司","4000-8000","深圳"
"前端开发工程师","深圳市讯极网络技术有限公司","5000-10000","深圳-宝安区"
"前端开发工程师","深圳市前海巨果教育科技有限公司","6000-12000","深圳-宝安区"
"区块链高级开发工程师Blockchain Developer","深圳市郡星科技有限公司","25000-35000","深圳"
"Egret前端开发工程师","前海谷雨(深圳)云计算机科技有限公司","6000-10000","深圳"
"web前端","深圳市科比特航空科技有限公司","10001-15000","深圳"
"前端工程师","深圳埃克斯工业自动化有限公司","15001-20000","深圳"
"后台开发工程师","深圳瑞赛网络科技有限公司","10001-15000","深圳"
"微信公众号软件开发","深圳市薄荷阅读科技有限公司","2001-4000","深圳-龙岗区"
"高级后端工程师","深圳市工之易科技有限公司","15000-25000","深圳"
"游戏服务器开发（c++）","深圳闲时游戏有限公司","15001-20000","深圳-南山区"
"java架构师","深圳火豚科技有限公司","20000-35000","深圳"
"前端开发工程师（JS、React）","深圳市酷数科技有限公司","10001-15000","深圳"
"区块链工程师","深圳市泛娱科技产业有限公司","30001-50000","深圳"
"首席软件工程师_智能网络终端(DMTS_CPE)","凯易讯网络技术开发(南京)有限公司","40000-60000","深圳"
"h5前端开发工程师","湖北通联智能科技有限公司","10000-18000","深圳"
"前端架构师(深圳)","上海襄岳信息技术有限公司","16000-30000","深圳"
"H5前端开发","深圳市卡默莱电子科技有限公司","8000-10000","深圳"
"软件工程师","深圳市飞创联智能科技有限公司","6001-8000","深圳"
"区块链开发工程师","衡煜(深圳)投资有限公司","15000-30000","深圳"
"web前端工程师","深圳未来计划科技有限公司","8001-10000","深圳"
"web前端工程师","纷腾科技(深圳)有限公司","13000-18000","深圳"
"Web前端开发","南京绛门通讯科技股份有限公司深圳分公司","10000-16000","深圳-南山区"
"技术总监","深圳市虎瑞科技有限公司","50001-70000","深圳"
"高级前端开发工程师","深圳市点趣网络技术有限公司","5000-10000","深圳"
"Web前端设计","深圳市辣椒仔科技有限公司","8000-15000","深圳"
"Java中级开发工程师","深圳万威科技有限公司","10000-15000","深圳"
"php开发高级工程师","深圳爱看影音科技有限公司","15001-20000","深圳"
"web前端工程师","深圳市揽胜品牌设计有限公司","15000-25000","深圳"
"微信小程序开发工程师","深圳微应科技有限公司","10001-15000","深圳"
"资深前端工程师","国创元禾区块链有限公司","15000-25000","深圳"
"RN前端工程师","深圳玩贝科技有限公司","8000-16000","深圳"
"web前端开发工程师","深圳爱看影音科技有限公司","10001-15000","深圳"
"PHP开发工程师","深圳拓意网络科技有限公司","5000-8000","深圳-福田区"
"Web前端开发工程师","深圳市易甲文技术有限公司","15001-20000","深圳"
"前端开发工程师","深圳市潜一网络科技有限责任公司","15001-20000","深圳"
"h5前端开发工程师","华亿区块链(深圳)有限公司","10000-18000","深圳"
"前端开发工程师","深圳市百川信息技术有限公司","6001-8000","深圳"
"微信小程序前端开发","深圳市花友会文化传播有限公司","6001-8000","深圳"
"web前端开发工程师","深圳逍遥盛世科技有限公司","10001-15000","深圳"
"Web开发工程师（JS、React）","深圳市酷数科技有限公司","10001-15000","深圳"
"移动开发工程师（急招）","北京数介科技有限公司","10000-20000","深圳"
"cocos creator全栈工程师","深圳第九艺术科技有限公司","30001-50000","深圳"
"前端开发工程师","广州菲葛馨保健食品贸易有限公司","8001-10000","深圳"
"前端开发工程师","深圳市斯沃恩科技有限公司","10000-20000","深圳"
"区块链开发工程师","深圳锚链科技有限公司","25000-50000","深圳"
"web前端开发助理","广州海度网络科技有限公司","4001-6000","深圳"
"Node.JS开发工程师","易宝互动资讯有限公司","10000-20000","深圳"
"高级前端工程师","北京筑龙信息技术有限责任公司","15001-20000","深圳"
"前端开发工程师","深圳金证科技股份有限公司","10001-15000","深圳"
"前端开发工程师","深圳市策维科技有限公司","9000-10000","深圳-龙华新区"
"高级WEB前端工程师","商金投资管理(深圳)有限公司","15001-20000","深圳"
"Web前端开发工程师","深圳智催科技有限公司","25000-50000","深圳"
"亚马逊速卖通","深圳市安睿信科技有限公司","6001-8000","深圳"
"外贸英文亚马逊业务员","深圳市安睿信科技有限公司","6001-8000","深圳"
"产品经理（物联网）","深圳日海通讯技术股份有限公司","15001-20000","深圳"
"amazon销售","深圳市安睿信科技有限公司","8001-10000","深圳"
"amazon亚马逊","深圳市安睿信科技有限公司","6001-8000","深圳"
"h5中级开发","陕西九鼎通信技术有限公司","9000-14000","深圳"
"WEB前端开发工程师","易宝互动资讯有限公司","10000-20000","深圳"
